time,open,high,low,close,MHULL,SHULL
1506974400,4407.09,4411.1,4352,4391.48,4407.534595444238,4389.9010586391105
1506988800,4391.41,4425,4360.05,4416.3,4416.382057247647,4398.810709621727
1507003200,4407.27,4413.92,4258.6,4284.36,4421.594778662476,4407.534595444238
1507017600,4283.57,4336.61,4248.76,4295.6,4423.93686489899,4416.382057247647
1507032000,4295.58,4303.42,4218,4293,4423.822713993679,4421.594778662476
1507046400,4293.96,4307,4251.01,4272.02,4420.9522463495505,4423.93686489899
1507060800,4272.02,4318.64,4259.23,4315.83,4416.920498239195,4423.822713993679
1507075200,4315.73,4320,4285,4299.99,4411.738375266267,4420.9522463495505
1507089600,4300,4343,4297.18,4329.91,4406.649180108912,4416.920498239195
1507104000,4321.55,4329.18,4188,4243.25,4399.657390881604,4411.738375266267
1507118400,4240.25,4247.47,4170.07,4212.04,4390.162454631347,4406.649180108912
1507132800,4217.84,4226.17,4180.41,4206.26,4378.469117467189,4399.657390881604
1507147200,4209.74,4233,4192.01,4219.53,4365.505894660894,4390.162454631347
1507161600,4219.74,4239.98,4164.84,4186.32,4350.715115964062,4378.469117467189
1507176000,4182.25,4182.25,4137.96,4159.38,4334.100010736618,4365.505894660894
1507190400,4158.03,4259.98,4138.7,4246.08,4318.726079579811,4350.715115964062
1507204800,4246.28,4334.38,4246.28,4314.24,4306.808118764172,4334.100010736618
1507219200,4316.99,4356.05,4287.15,4355.35,4299.072775467257,4318.726079579811
1507233600,4355.3,4358.97,4297.01,4301.09,4293.3873040180715,4306.808118764172
1507248000,4301.09,4334.38,4278.4,4320,4289.788253684807,4299.072775467257
1507262400,4320,4425,4305.05,4403.3,4290.011028799904,4293.3873040180715
1507276800,4403.48,4419.96,4382,4390.08,4292.694877233216,4289.788253684807
1507291200,4390.08,4400,4335.66,4376.72,4296.597436207311,4290.011028799904
1507305600,4371.61,4393.05,4298.01,4338.01,4300.208076058201,4292.694877233216
1507320000,4338,4375,4321.82,4362.95,4304.205075414004,4296.597436207311
1507334400,4356.09,4383.95,4344.96,4359.01,4308.478043874115,4300.208076058201
1507348800,4360,4377.77,4320,4328.4,4312.006074598021,4304.205075414004
1507363200,4329.37,4348.99,4312.82,4315,4314.486149101559,4308.478043874115
1507377600,4315,4360,4312.82,4332.24,4316.7793096870055,4312.006074598021
1507392000,4342.1,4356.05,4317.66,4338.92,4319.338831082938,4314.486149101559
1507406400,4334.64,4463,4327.41,4423.3,4324.435908876176,4316.7793096870055
1507420800,4422.72,4462.24,4413.52,4439.85,4331.982718176665,4319.338831082938
1507435200,4439.84,4462.32,4404.5,4441.79,4341.538650304061,4324.435908876176
1507449600,4440.95,4478.35,4430.5,4448.92,4352.799256587989,4331.982718176665
1507464000,4448.96,4570.89,4445.92,4568.46,4368.401933613345,4341.538650304061
1507478400,4568.45,4585,4525.92,4583.97,4387.548063758332,4352.799256587989
1507492800,4584,4612,4556.22,4597.98,4409.4866158438135,4368.401933613345
1507507200,4597.97,4624.72,4562.19,4617.07,4433.505200001718,4387.548063758332
1507521600,4623.19,4624.72,4541,4576.72,4457.536599524154,4409.4866158438135
1507536000,4570.16,4612,4550,4596,4481.4117411702055,4433.505200001718
1507550400,4596,4670,4552.85,4634,4505.414664519343,4457.536599524154
1507564800,4634,4865,4620,4780,4532.562228372158,4481.4117411702055
1507579200,4777,4837.05,4739.9,4764.7,4561.292001889646,4505.414664519343
1507593600,4761.67,4837.05,4761.53,4784.91,4591.309854978354,4532.562228372158
1507608000,4778,4847,4771,4771,4621.498315476191,4561.292001889646
1507622400,4771,4812.98,4750,4797.22,4652.038611918505,4591.309854978354
1507636800,4795.06,4832.05,4782,4789,4681.831097205043,4621.498315476191
1507651200,4787.05,4909.97,4780,4861.47,4712.104369657458,4652.038611918505
1507665600,4869.09,4885.54,4700,4749.29,4739.048348544973,4681.831097205043
1507680000,4747.9,4760.65,4700,4728.24,4762.3884037226,4712.104369657458
1507694400,4721.27,4776.4,4706.05,4768.89,4783.467416116951,4739.048348544973
1507708800,4765.21,4826.83,4760.01,4767.04,4802.283259121831,4762.3884037226
1507723200,4767.04,4837.05,4741.5,4832.03,4820.605393965163,4783.467416116951
1507737600,4836.85,4869.78,4812.98,4831.09,4838.210692692229,4802.283259121831
1507752000,4836.68,4847.52,4789.04,4822.01,4854.587136518245,4820.605393965163
1507766400,4822.01,4859.17,4793.66,4854.6,4870.647300376212,4838.210692692229
1507780800,4854.27,5018,4830.44,5018,4890.254458573834,4854.587136518245
1507795200,5018.23,5240,5015.7,5172,4916.160251279805,4870.647300376212
1507809600,5163.43,5311.18,5163.42,5311.12,4950.294422533154,4890.254458573834
1507824000,5311.18,5388,5222,5289.74,4989.655272607022,4916.160251279805
1507838400,5289.7,5445,5265.08,5445,5036.40422991823,4950.294422533154
1507852800,5444,5846.43,5395.1,5719,5095.176442245584,4989.655272607022
1507867200,5719,5802.98,5380,5616.41,5159.34614837147,5036.40422991823
1507881600,5616.29,5712,5561.99,5630,5226.157643707483,5095.176442245584
1507896000,5629.99,5799,5534.32,5721,5295.576460978837,5159.34614837147
1507910400,5720,5739.86,5479.48,5502,5359.489851465333,5226.157643707483
1507924800,5501.77,5666.97,5497.4,5653.6,5421.341473991617,5295.576460978837
1507939200,5653.58,5697.94,5581.43,5660,5479.878152056277,5359.489851465333
1507953600,5664,5690.87,5558.26,5614.33,5533.091444538927,5421.341473991617
