time,open,high,low,close,PMA12,PMA144,PMA169,PMA288,PMA338,PMA576,PMA676,MHULL,SHULL,KD,J,RSI,MACD,Signal Line,Histogram,Cross,QQE Line,Histo2,QQE Up,QQE Down,Plot,Plot,Plot,Plot,Plot,Shapes,Shapes
913856400,6695.2002,6761,6650.6001,6650.6001,6968.582378978472,7311.904102635811,7385.650819175782,NaN,NaN,7496.742079694457,7401.433631052358,7171.897842094156,7227.433079102505,10.478911979649142,-3.3254996770744327,0.4945978933768913,-66.47205213516736,13.34272930664641,-79.81478144181376,NaN,-17.65889495753686,-22.64632500715911,NaN,-22.64632500715911,-568.6268961538353,-134.637294999989,80.50063915441805,-349.775229154396,0,NaN,NaN
913942800,6742.1001,6742.1001,6592.5,6636.7002,6917.523582212553,7302.590945358075,7376.8396354207725,NaN,NaN,7493.7609986556545,7399.174448095039,7133.303807398989,7203.934858864412,9.130653279198143,-1.1421993002911464,-0.2476331875297717,-88.02312807785347,-4.30125016593057,-83.7218779119229,NaN,-20.50470107415317,-25.503673856906637,NaN,-25.503673856906637,-600.4922807692201,-209.63461346152752,17.097920625987598,-436.36714754904267,0,NaN,NaN
914202000,6572.2002,6620.7998,6537.6001,6558.2998,6862.258384949084,7292.3248605945155,7367.209755004057,NaN,NaN,7490.518498833624,7396.6903280120405,7088.135025743919,7171.897842094156,7.557338560906068,-1.5123745245687665,-4.440492290668658,-110.15892457907012,-23.87618381222829,-86.28274076684183,NaN,-23.384897663264823,-28.381739362970794,NaN,-28.381739362970794,-668.9423846153732,-302.82347346152744,-90.55439757404963,-515.0925493490053,0,NaN,NaN
914288400,6623.2002,6782.7002,6619.7998,6782.7002,6850.018664187686,7285.295554931143,7360.33317200401,NaN,NaN,7488.065055856731,7394.876472390144,7044.351998516285,7133.303807398989,14.833527282075043,28.489142542260073,16.575431604917753,-108.34552611615982,-41.91164115865013,-66.43388495750969,NaN,-25.745877145244762,-20.538551742974903,NaN,-20.538551742974903,-520.2615692307581,-371.8457899999891,-196.5478154455107,-547.1437645544675,0,NaN,NaN
914374800,6775.6001,6775.6001,6684.1001,6688.6001,6825.185038928043,7277.0652727941615,7352.4304299804335,NaN,NaN,7485.293946824299,7392.789983845417,6999.619624497527,7088.135025743919,18.081221468319036,33.028264564021526,10.866704540259562,-113.19662616811092,-58.75524288409562,-54.4413832840153,NaN,-22.895159951267768,-17.55278302692375,NaN,-17.55278302692375,-452.9576307692196,-418.9361630769122,-277.4892534021788,-560.3830727516456,0,NaN,NaN
914461200,6778.2998,6780.7998,6668.7002,6683,6803.310417554498,7268.871269031483,7344.554777863016,NaN,NaN,7482.513031930627,7390.693115355475,6954.579032972584,7044.351998516285,21.550129858954094,37.695922383393,10.52639568052885,-116.15408716416277,-73.55750028411148,-42.59658688005129,NaN,-21.067896376795467,-15.697144765553794,NaN,-15.697144765553794,-430.4154153846039,-454.09961692306604,-345.38364608395227,-562.8155877621798,0,NaN,NaN
914806800,6615.3999,6615.3999,6452.1001,6481.6001,6753.816522546113,7258.012356355187,7334.402369888157,NaN,NaN,7479.04366301579,7388.0074639068625,6905.114081199582,6999.619624497527,18.471668441241633,18.848411159179925,-0.7589598534488857,-133.21358182301628,-87.9318954265018,-45.28168639651449,NaN,-21.067896376795467,-18.419696902869223,NaN,-18.419696902869223,-584.5346307692189,-493.04500269229686,-405.6179544943201,-580.4720508902736,0,NaN,NaN
914893200,6499.7998,6527.2998,6414.6001,6478.2998,6711.4293344620955,7247.25770040546,7324.330574948297,NaN,NaN,7475.574880128387,7385.319996657507,6852.859455328197,6954.579032972584,17.138891278396358,13.995319730252312,-0.9297829765644678,-145.32445106487648,-102.2557573264898,-43.068693738386685,NaN,-21.067896376795467,-20.287936586179686,NaN,-20.287936586179686,-595.7346769230653,-523.7957976922969,-452.8849055550702,-594.7066898295236,0,NaN,NaN
914979600,6545.7998,6566.6001,6433.3999,6462,6673.0555906986965,7236.426559710212,7314.18550936067,NaN,NaN,7472.061622311651,7382.592315722034,6798.507237084278,6905.114081199582,16.12192606003459,12.007727240058152,-1.8243764649788545,-154.45717367812904,-115.0383945340607,-39.41877914406834,NaN,-16.670577408401215,-21.835883930504355,NaN,-21.835883930504355,-529.6884769230664,-536.8988796153739,-474.301088972035,-599.4966702587127,0,NaN,NaN
915066000,6516.2002,6516.2002,6414.3999,6418.3999,6633.877792129666,7225.1434333693815,7303.646855132897,NaN,NaN,7468.409415301906,7379.7438890877,6742.18781090806,6852.859455328197,12.68919812913795,2.0502788919081283,-4.276517105869118,-163.33031562665383,-125.80042381089253,-37.5298918157613,NaN,-18.692806951611296,-23.71031165099759,NaN,-23.71031165099759,-518.7499615384504,-547.0403923076816,-492.6453204155957,-601.4354641997676,0,NaN,NaN
