time,open,high,low,close,Volume
1462708800,457.3,459.33,455.95,459.33,358.91741177
1462723200,459.33,459.59,456.35,458.1,226.68505388
1462737600,458.23,459.4,457.02,458.21,251.46472352
1462752000,457.75,458.57,456.83,457.04,243.38638141
1462766400,456.86,457.84,456.2,457.1,224.57981835
1462780800,456.2,459.97,455.62,456.38,932.2691175
1462795200,456.38,463.5,456.04,463.5,740.80725433
1462809600,462.13,464.79,460,461,1014.24252159
1462824000,461,462.37,459.58,460.82,381.2187963
1462838400,461.49,463,459.5,460.68,471.17165574
1462852800,460.93,461.65,458.61,460.76,356.10986743
1462867200,460.7,460.92,447.38,453.21,2120.65258465
1462881600,453.07,454.5,451.21,451.64,757.45928455
1462896000,451.21,455.07,451.01,453.14,788.01428051
1462910400,453.21,456.58,449.7,451.62,1252.75027034
1462924800,450.88,457.99,450.32,454.31,1061.16663934
1462939200,453.55,454.19,452,453.85,239.44325341
1462953600,453.1,455.59,453.07,453.13,488.38711368
1462968000,453.87,454.31,452.59,453.6,817.59041299
1462982400,453.42,453.91,451.7,452.93,428.35588797
1462996800,452.95,453.69,450.67,452.91,311.63719709
1463011200,452.95,453,450.69,451.72,192.131689
1463025600,451.72,452.05,448.88,450.49,667.89220749
1463040000,450.09,452.5,449.73,452.24,672.71271491
1463054400,451.52,453.93,451.39,452.51,588.89331173
1463068800,452.51,452.81,450.14,452.81,478.63157829
1463083200,452.81,455.25,451.52,455.2,853.23089667
1463097600,455.2,455.55,452.76,453.85,395.05178393
1463112000,453.59,454.44,452.04,452.91,182.40494368
1463126400,452.31,455.99,452.31,455.48,875.10130975
1463140800,455.22,455.99,453.59,454.53,425.71456797
1463155200,454.91,456.65,454.3,455.75,652.34313339
1463169600,455.74,456.82,455.27,455.91,292.03478053
1463184000,456.42,456.99,455.43,456,145.45051167
1463198400,456,456.17,453.89,455.71,120.09971705
1463212800,456.07,456.31,453.51,455.39,270.88637813
1463227200,455.36,456.99,454.57,455.4,320.14142277
1463241600,455.86,456.99,454.94,456.47,218.6761181
1463256000,455.9,457.25,455.28,455.57,296.35337736
1463270400,456.3,456.34,455.28,455.31,241.91091947
1463284800,456.17,456.21,455.08,455.66,48.63919997
1463299200,455.66,456.21,454.72,456.13,122.51264669
1463313600,456.16,456.4,454.92,456.07,207.37810545
1463328000,456.02,458.08,455.11,457.42,604.86052672
1463342400,457.31,457.94,456.25,457.56,387.32178272
1463356800,457.56,457.94,456.86,457,137.02250229
1463371200,457,457.78,455.16,457.39,216.36163763
1463385600,457.38,457.98,456.02,457.74,267.49631374
1463400000,457.32,458,456,457.5,818.40118832
1463414400,457.5,457.62,451.11,453.59,1173.47385706
1463428800,453.58,455.65,452.09,454,635.43651942
1463443200,454,456.09,453.08,454.39,502.60290063
1463457600,454.4,454.42,453,453.49,297.32238049
1463472000,453.49,454.36,453,453.11,560.63242783
1463486400,453.5,454.42,452.64,453.81,672.88906613
